Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.18,-.32,-.04,-.41,-.15,.00,-1.13,-.51,-.25,-.19,-.10,-.03,.05,.67
1881,-.10,-.20,.00,-.36,.07,-.06,-1.08,-.51,-.14,.05,.09,-.05,-.07,.59
1882,-.11,-.22,.01,-.32,-.05,.03,-1.65,-.31,-.08,-.07,-.03,.04,.04,.63
1883,-.19,-.33,-.05,-.40,-.19,.02,-.54,-.64,-.21,-.22,-.15,.00,.07,.50
1884,-.29,-.45,-.14,-.59,-.19,-.12,-1.49,-.63,-.39,-.21,-.17,-.17,-.02,.65
1885,-.31,-.41,-.22,-.61,-.14,-.24,-1.32,-.69,-.41,-.09,-.20,-.29,-.15,.82
1886,-.32,-.42,-.22,-.53,-.24,-.21,-1.39,-.50,-.39,-.24,-.24,-.20,-.20,.59
1887,-.34,-.40,-.28,-.48,-.30,-.27,-1.69,-.48,-.25,-.29,-.32,-.26,-.26,.32
1888,-.17,-.23,-.13,-.43,.09,-.28,-1.59,-.44,-.19,.09,.09,-.30,-.23,.16
1889,-.10,-.17,-.05,-.28,.07,-.15,-.96,-.20,-.19,.03,.11,-.14,-.15,.45
1890,-.37,-.41,-.32,-.47,-.40,-.21,-1.39,-.55,-.24,-.31,-.49,-.16,-.27,.15
1891,-.23,-.27,-.20,-.43,-.11,-.20,-1.42,-.31,-.31,-.02,-.20,-.16,-.24,-.16
1892,-.26,-.37,-.16,-.41,-.29,-.07,-1.42,-.60,-.09,-.31,-.27,.03,-.22,.09
1893,-.31,-.45,-.18,-.48,-.38,-.07,-1.01,-.51,-.34,-.40,-.35,.04,-.21,-.04
1894,-.31,-.39,-.23,-.34,-.34,-.24,-1.46,-.27,-.10,-.47,-.22,-.16,-.35,-.38
1895,-.22,-.28,-.16,-.38,-.07,-.26,-1.02,-.45,-.17,-.12,-.02,-.20,-.32,-.58
1896,-.11,-.19,-.02,-.36,.11,-.15,-1.34,-.35,-.13,.07,.14,-.15,-.14,.25
1897,-.12,-.17,-.06,-.34,.15,-.24,-.83,-.39,-.19,.12,.18,-.20,-.28,.40
1898,-.28,-.28,-.27,-.32,-.26,-.26,-1.25,-.16,-.19,-.23,-.29,-.28,-.21,.38
1899,-.18,-.20,-.16,-.21,-.15,-.19,-1.12,.00,-.12,-.18,-.11,-.17,-.22,.58
1900,-.09,-.08,-.09,-.18,.14,-.30,-.66,-.08,-.12,.09,.19,-.30,-.29,.27
1901,-.15,-.10,-.20,-.13,-.05,-.31,-.62,-.02,-.06,-.05,-.06,-.28,-.34,.26
1902,-.30,-.35,-.25,-.54,-.08,-.35,-1.69,-.41,-.31,-.05,-.11,-.29,-.43,-.05
1903,-.39,-.39,-.39,-.48,-.32,-.39,-.57,-.38,-.52,-.25,-.39,-.37,-.40,-.47
1904,-.49,-.50,-.49,-.51,-.51,-.44,-.35,-.55,-.53,-.47,-.55,-.38,-.49,-1.29
1905,-.29,-.31,-.25,-.40,-.14,-.36,-.27,-.18,-.58,-.17,-.12,-.34,-.37,-.31
1906,-.22,-.23,-.22,-.24,-.20,-.23,-.48,.00,-.34,-.21,-.20,-.20,-.23,-.68
1907,-.39,-.47,-.32,-.59,-.32,-.29,-.83,-.70,-.46,-.30,-.35,-.21,-.37,-1.17
1908,-.43,-.45,-.41,-.48,-.45,-.35,-.53,-.51,-.46,-.41,-.49,-.28,-.48,.70
1909,-.47,-.47,-.48,-.49,-.48,-.44,-.89,-.51,-.38,-.43,-.53,-.37,-.52,-.54
1910,-.43,-.43,-.42,-.39,-.49,-.37,-.80,-.16,-.44,-.49,-.50,-.31,-.45,.19
1911,-.43,-.40,-.46,-.39,-.43,-.46,-.45,-.36,-.41,-.40,-.45,-.42,-.52,.08
1912,-.35,-.46,-.25,-.59,-.18,-.35,-.71,-.72,-.47,-.26,-.11,-.35,-.29,-1.61
1913,-.35,-.43,-.26,-.42,-.31,-.33,-.74,-.25,-.46,-.44,-.17,-.26,-.40,-1.01
1914,-.15,-.20,-.11,-.25,-.07,-.17,-.66,-.07,-.26,-.12,-.03,-.15,-.18,-.34
1915,-.12,-.11,-.13,-.19,.00,-.21,-.67,-.06,-.15,.01,-.02,-.14,-.23,-1.96
1916,-.33,-.36,-.30,-.30,-.43,-.21,-.41,-.44,-.19,-.45,-.41,-.20,-.17,-1.02
1917,-.44,-.54,-.35,-.42,-.65,-.18,-.73,-.37,-.37,-.72,-.57,-.22,-.09,.09
