"fecha"	"cnt"
"2010-01-01"	"93"
"2010-01-02"	"28"
"2010-01-03"	"23"
"2010-01-04"	"25"
"2010-01-05"	"22"
"2010-01-06"	"21"
"2010-01-07"	"18"
"2010-01-08"	"19"
"2010-01-09"	"24"
"2010-01-10"	"30"
"2010-01-11"	"17"
"2010-01-12"	"14"
"2010-01-13"	"15"
"2010-01-14"	"18"
"2010-01-15"	"36"
"2010-01-16"	"18"
"2010-01-17"	"21"
"2010-01-18"	"26"
"2010-01-19"	"12"
"2010-01-20"	"30"
"2010-01-21"	"14"
"2010-01-22"	"13"
"2010-01-23"	"15"
"2010-01-24"	"22"
"2010-01-25"	"15"
"2010-01-26"	"21"
"2010-01-27"	"16"
"2010-01-28"	"27"
"2010-01-29"	"16"
"2010-01-30"	"27"
"2010-01-31"	"21"
"2010-02-01"	"36"
"2010-02-02"	"22"
"2010-02-03"	"26"
"2010-02-04"	"26"
"2010-02-05"	"22"
"2010-02-06"	"27"
"2010-02-07"	"20"
"2010-02-08"	"20"
"2010-02-09"	"24"
"2010-02-10"	"23"
"2010-02-11"	"25"
"2010-02-12"	"24"
"2010-02-13"	"24"
"2010-02-14"	"23"
"2010-02-15"	"29"
"2010-02-16"	"19"
"2010-02-17"	"23"
"2010-02-18"	"16"
"2010-02-19"	"19"
"2010-02-20"	"24"
"2010-02-21"	"17"
"2010-02-22"	"20"
"2010-02-23"	"18"
"2010-02-24"	"18"
"2010-02-25"	"20"
"2010-02-26"	"23"
"2010-02-27"	"19"
"2010-02-28"	"27"
"2010-03-01"	"35"
"2010-03-02"	"16"
"2010-03-03"	"26"
"2010-03-04"	"17"
"2010-03-05"	"14"
"2010-03-06"	"27"
"2010-03-07"	"22"
"2010-03-08"	"28"
"2010-03-09"	"16"
"2010-03-10"	"29"
"2010-03-11"	"17"
"2010-03-12"	"17"
"2010-03-13"	"21"
"2010-03-14"	"20"
"2010-03-15"	"24"
"2010-03-16"	"18"
"2010-03-17"	"9"
"2010-03-18"	"15"
"2010-03-19"	"29"
"2010-03-20"	"23"
"2010-03-21"	"30"
"2010-03-22"	"15"
"2010-03-23"	"16"
"2010-03-24"	"17"
"2010-03-25"	"22"
"2010-03-26"	"18"
"2010-03-27"	"20"
"2010-03-28"	"20"
"2010-03-29"	"15"
"2010-03-30"	"17"
"2010-03-31"	"13"
"2010-04-01"	"28"
"2010-04-02"	"20"
"2010-04-03"	"18"
"2010-04-04"	"20"
"2010-04-05"	"10"
"2010-04-06"	"19"
"2010-04-07"	"25"
"2010-04-08"	"21"
"2010-04-09"	"22"
"2010-04-10"	"22"
"2010-04-11"	"22"
"2010-04-12"	"19"
"2010-04-13"	"12"
"2010-04-14"	"17"
"2010-04-15"	"20"
"2010-04-16"	"18"
"2010-04-17"	"12"
"2010-04-18"	"18"
"2010-04-19"	"18"
"2010-04-20"	"27"
"2010-04-21"	"23"
"2010-04-22"	"15"
"2010-04-23"	"9"
"2010-04-24"	"11"
"2010-04-25"	"12"
"2010-04-26"	"14"
"2010-04-27"	"19"
"2010-04-28"	"17"
"2010-04-29"	"11"
"2010-04-30"	"22"
"2010-05-01"	"26"
"2010-05-02"	"15"
"2010-05-03"	"30"
"2010-05-04"	"18"
"2010-05-05"	"35"
"2010-05-06"	"21"
"2010-05-07"	"24"
"2010-05-08"	"21"
"2010-05-09"	"23"
"2010-05-10"	"26"
"2010-05-11"	"24"
"2010-05-12"	"22"
"2010-05-13"	"20"
"2010-05-14"	"15"
"2010-05-15"	"31"
"2010-05-16"	"36"
"2010-05-17"	"20"
"2010-05-18"	"26"
"2010-05-19"	"27"
"2010-05-20"	"18"
"2010-05-21"	"14"
"2010-05-22"	"9"
"2010-05-23"	"19"
"2010-05-24"	"25"
"2010-05-25"	"17"
"2010-05-26"	"13"
"2010-05-27"	"18"
"2010-05-28"	"14"
"2010-05-29"	"18"
"2010-05-30"	"24"
"2010-05-31"	"15"
"2010-06-01"	"33"
"2010-06-02"	"22"
"2010-06-03"	"18"
"2010-06-04"	"23"
"2010-06-05"	"27"
"2010-06-06"	"24"
"2010-06-07"	"22"
"2010-06-08"	"20"
"2010-06-09"	"26"
"2010-06-10"	"28"
"2010-06-11"	"20"
