"fecha"	"cnt"
"2010-01-01"	"717"
"2010-02-01"	"634"
"2010-03-01"	"626"
"2010-04-01"	"541"
"2010-05-01"	"664"
"2010-06-01"	"559"
"2010-07-01"	"552"
"2010-08-01"	"586"
"2010-09-01"	"545"
"2010-10-01"	"531"
"2010-11-01"	"463"
"2010-12-01"	"357"
"2011-01-01"	"804"
"2011-02-01"	"709"
"2011-03-01"	"799"
"2011-04-01"	"700"
"2011-05-01"	"813"
"2011-06-01"	"667"
"2011-07-01"	"670"
"2011-08-01"	"736"
"2011-09-01"	"731"
"2011-10-01"	"650"
"2011-11-01"	"492"
"2011-12-01"	"366"
"2012-01-01"	"1175"
"2012-02-01"	"1021"
"2012-03-01"	"1043"
"2012-04-01"	"953"
"2012-05-01"	"1062"
"2012-06-01"	"1025"
"2012-07-01"	"929"
"2012-08-01"	"1025"
"2012-09-01"	"940"
"2012-10-01"	"864"
"2012-11-01"	"707"
"2012-12-01"	"594"
"2013-01-01"	"1331"
"2013-02-01"	"1136"
"2013-03-01"	"1091"
"2013-04-01"	"1130"
"2013-05-01"	"1194"
"2013-06-01"	"963"
"2013-07-01"	"1007"
"2013-08-01"	"943"
"2013-09-01"	"904"
"2013-10-01"	"792"
"2013-11-01"	"609"
"2013-12-01"	"446"
"2014-01-01"	"1090"
"2014-02-01"	"1148"
"2014-03-01"	"1430"
"2014-04-01"	"1211"
"2014-05-01"	"1271"
"2014-06-01"	"955"
"2014-07-01"	"862"
"2014-08-01"	"977"
"2014-09-01"	"1103"
"2014-10-01"	"959"
"2014-11-01"	"878"
"2014-12-01"	"693"
"2015-01-01"	"1614"
"2015-02-01"	"1876"
"2015-03-01"	"1852"
"2015-04-01"	"1943"
"2015-05-01"	"1907"
"2015-06-01"	"1729"
"2015-07-01"	"1939"
"2015-08-01"	"2183"
"2015-09-01"	"1853"
"2015-10-01"	"1946"
"2015-11-01"	"1506"
"2015-12-01"	"1289"
"2016-01-01"	"2008"
"2016-02-01"	"1984"
"2016-03-01"	"2007"
"2016-04-01"	"1930"
"2016-05-01"	"2053"
"2016-06-01"	"1926"
"2016-07-01"	"1951"
"2016-08-01"	"2018"
"2016-09-01"	"1984"
"2016-10-01"	"1918"
"2016-11-01"	"1871"
"2016-12-01"	"1812"
"2017-01-01"	"2267"
"2017-02-01"	"2135"
"2017-03-01"	"2259"
"2017-04-01"	"2138"
"2017-05-01"	"2498"
"2017-06-01"	"2260"
"2017-07-01"	"2338"
"2017-08-01"	"2486"
"2017-09-01"	"2509"
"2017-10-01"	"2297"
"2017-11-01"	"2353"
"2017-12-01"	"1815"
"2018-01-01"	"2348"
"2018-02-01"	"1786"
"2018-03-01"	"2326"
"2018-04-01"	"2464"
"2018-05-01"	"2532"
"2018-06-01"	"2307"
"2018-07-01"	"2471"
"2018-08-01"	"2511"
"2018-09-01"	"1944"
